Date,Murban,Ice Brent,Oman,Dubai,Nymex WTI
09 Apr 2020,29.770,32.92,26.660,24.530,25.710
08 Apr 2020,30.940,31.96,26.090,23.840,24.470
07 Apr 2020,32.240,33.75,27.730,27.210,27.050
06 Apr 2020,31.410,33.06,29.540,28.460,27.650
03 Apr 2020,29.430,30.83,28.140,27.280,25.240
02 Apr 2020,27.400,26.85,23.340,23.600,21.850
01 Apr 2020,26.530,24.88,22.560,22.660,20.100
31 Mar 2020,24.540,23.19,26.550,23.670,21.080
30 Mar 2020,23.780,22.88,23.950,23.170,20.390
27 Mar 2020,25.530,25.78,26.120,25.060,22.660
26 Mar 2020,26.170,26.30,28.540,25.940,23.520
25 Mar 2020,27.140,27.57,29.440,26.470,24.530
24 Mar 2020,27.450,27.80,27.890,26.380,24.410
23 Mar 2020,25.110,25.61,26.180,24.680,22.540
20 Mar 2020,29.150,30.36,30.840,29.350,27.340
19 Mar 2020,26.860,26.75,28.090,26.800,23.210
18 Mar 2020,28.500,28.35,30.010,28.900,26.040
17 Mar 2020,30.960,30.66,31.510,30.930,29.820
16 Mar 2020,30.860,31.56,31.380,31.260,30.200
13 Mar 2020,37.930,34.57,34.790,33.380,32.810
12 Mar 2020,36.840,34.06,33.730,32.460,31.430
11 Mar 2020,36.690,36.72,35.390,34.700,33.800
10 Mar 2020,37.940,36.56,34.400,33.950,33.400
09 Mar 2020,36.700,36.00,33.300,33.650,35.280
06 Mar 2020,52.440,49.08,49.000,48.390,45.170
05 Mar 2020,54.610,51.40,51.070,50.840,46.960
04 Mar 2020,54.570,51.66,51.320,50.910,47.140
03 Mar 2020,55.310,52.71,52.150,51.750,47.680
02 Mar 2020,54.220,51.61,50.950,50.530,46.370
28 Feb 2020,51.560,50.86,49.110,48.760,45.850
27 Feb 2020,53.410,52.81,50.470,50.700,48.110
26 Feb 2020,55.040,54.49,53.020,52.280,49.640
25 Feb 2020,57.070,56.46,55.290,54.520,51.460
24 Feb 2020,57.120,56.57,55.420,54.590,51.720
21 Feb 2020,59.070,58.48,57.310,56.470,53.230
20 Feb 2020,59.600,58.92,57.670,56.960,53.300
19 Feb 2020,58.970,58.13,57.050,56.610,52.460
18 Feb 2020,57.590,56.70,55.790,55.220,51.290
17 Feb 2020,58.530,57.36,56.510,55.950,52.180
14 Feb 2020,57.990,56.43,55.810,55.540,51.500
13 Feb 2020,57.420,55.38,54.730,54.660,50.940
12 Feb 2020,57.080,55.18,54.560,54.300,50.740
11 Feb 2020,55.960,53.93,53.220,53.080,50.120
10 Feb 2020,56.780,54.11,53.450,53.290,49.970
07 Feb 2020,57.620,54.86,54.460,54.340,50.850
06 Feb 2020,58.170,55.84,55.270,55.230,51.570
05 Feb 2020,56.520,54.31,53.710,53.610,49.880
04 Feb 2020,56.900,54.85,54.040,53.840,50.790
03 Feb 2020,58.700,56.04,55.380,54.990,51.350
31 Jan 2020,60.330,58.97,59.660,57.970,52.850
30 Jan 2020,60.030,58.86,58.170,57.480,52.450
29 Jan 2020,61.700,60.14,61.910,59.350,54.070
28 Jan 2020,60.520,59.01,61.920,58.580,52.980
27 Jan 2020,,59.53,,,#N/A
